"possession","period","tiempo","resultado","team.name","n","x_inicio","y_inicio","y_fin","n_eventos","n_pases","n_pasesC","n_traslados","n_driblesE","prom_av_p","prom_av_t","n_jugadores","n_centros","n_cdf","n_pases_arearival","n_ingresos_arearival","inicia_golero","reinicio_juego","zona_inicio","nzonas","vel_media_p","vel_media_c","vert_tot","horiz_tot","dist.promP","dist.promC","dist.medP","dist.medC","n_eq","mundial","prop_tiempo","tiempo_aj_pos","exito","grupo","exito_num","dataset"
139,2,8.75999999999976,"ganando","Netherlands",12,98.1,68.2999999999999,52.2,4,4,3,3,0,1.73,0.1,5,0,0,0,0,0,0,25,4,3.3925,0.48,7.2,-16.0999999999999,15.382172,1.79439794405791,12.707279,1.67630546142401,11,"F",0.00324902316041673,0.110246152182993,"1","Grupo B",NA,"test"
152,2,3.08400000000074,"perdiendo","Vietnam",8,11.1,18.8999999999999,19.2999999999999,7,1,1,2,0,10.3,0.9,3,0,0,0,0,0,0,2,2,10.82,1.51,12.0999999999999,0.399999999999998,10.3,1.37469572490926,10.3,1.37469572490926,6,"F",0.00352698590235,0.012587313546537,"1","Grupo A",NA,"test"
156,2,4.2510000000002,"perdiendo","Vietnam",7,7,35.8999999999999,8.29999999999999,3,3,2,0,0,4.13,0,4,0,0,0,0,1,1,3,3,3.99,0,14.8999999999999,-27.6,14.1327601,0,9.759098,0,6,"F",0.00486161383621496,0.0173504117659917,"1","Grupo A",NA,"test"
158,2,5.29199999999946,"perdiendo","Vietnam",9,29.9,59.3999999999999,72.9,4,3,2,2,0,4.77,0.55,4,0,0,0,0,0,0,9,3,4.27333333333333,0.715,17.2,13.5,9.88994833333333,2.51097590589794,11.072489,2.51097590589794,8,"F",0.00605214312426387,0.0215992423113654,"1","Grupo A",NA,"test"
165,2,15.5300000000006,"ganando","Netherlands",19,67.5,60,25.5,5,5,5,5,0,1.26,2.6,8,0,0,0,0,0,0,19,5,4.306,2.53,19.2999999999999,-34.5,15.3953802,3.56885019801132,14.182384,1.66433169770933,16,"F",0.00575996914169809,0.19544780175822,"0","Grupo B",NA,"test"
166,2,12.5140000000001,"perdiendo","Vietnam",12,33.3,54.3999999999999,66.5,5,3,2,2,0,9.4,-4,7,0,0,0,0,0,0,9,5,2.78,0,6.4,12.1,19.4503826666666,9.28304611306582,10.049875,9.28304611306582,9,"F",0.0143115115376127,0.0510757593130116,"1","Grupo A",NA,"test"
176,2,20.7160000000003,"ganando","Netherlands",15,6,44,29.6,4,5,4,3,0,9.94,18.43,8,0,0,0,0,1,1,3,8,6.346,5.04666666666667,107.799999999999,-14.3999999999999,25.6047996,19.0020903384311,23.914013,3.78021163428716,13,"F",0.00768342052410912,0.260714530664726,"1","Grupo A",NA,"test"
193,2,7.65299999999933,"perdiendo","Vietnam",12,58.5,8.09999999999999,2.2,5,3,3,3,0,12,-0.6,5,0,0,0,0,0,1,11,3,7.78,3.27,34.2,-5.89999999999999,19.5267833333333,1.79999999999999,12.842507,1.99999999999999,10,"F",0.00875227727324114,0.0312356389661531,"0","Grupo B",NA,"test"
10,1,12.1699999999999,"empate","China PR",16,28.7,59.5,47.6,7,3,3,4,1,11.43,4.8,6,0,0,0,0,0,0,9,4,4.94333333333333,2.4525,53.5,-11.8999999999999,16.4753024666666,9.18237707608437,6.449806,9.46109996229176,12,"F",0.0150986748648625,0.0472092846877455,"1","Grupo A",NA,"test"
28,1,45.5669999999998,"ganando","England",41,63.4,38.2999999999999,62.2999999999999,4,14,13,12,0,0.81,1.25,10,0,0,0,0,0,0,18,13,3.30857142857142,0.854166666666667,21.3,24,19.7286254642857,4.79770664136703,20.2950725,4.22922077345373,40,"F",0.0171494186427244,0.582688662665035,"0","Grupo B",NA,"test"
52,1,3.28700000000003,"perdiendo","China PR",7,110,0,8.59999999999999,5,2,2,1,0,-2.25,7.5,3,0,0,0,0,0,1,26,1,0,5.83,3,8.59999999999999,10.198664,8.31925477431722,10.198664,8.31925477431722,6,"F",0.004078006925292,0.0127507739333296,"0","Grupo B",NA,"test"
65,1,10.3320000000003,"perdiendo","China PR",14,60,40,16.1,6,4,3,3,1,-3.2,2,6,0,0,0,0,0,1,13,4,2.3125,2.07,-2.39999999999999,-23.8999999999999,15.33026925,3.79162418380098,16.62971,2.46981780704569,12,"F",0.012818365546735,0.0400794025796058,"0","Grupo B",NA,"test"
70,1,2.18399999999974,"perdiendo","China PR",4,81.6,0,11,3,2,1,1,0,6.3,0,2,0,0,0,0,0,1,21,1,2.5,0,5.30000000000001,11,12.4992585,0,12.4992585,0,4,"F",0.00270957320500048,0.00847206883796419,"0","Grupo B",NA,"test"
82,2,16.9229999999997,"ganando","England",19,71,7.4,18,4,6,5,6,0,4.07,0.47,7,0,0,0,0,0,0,16,7,5.36,0.696666666666667,27.7999999999999,10.5999999999999,20.5244028333333,2.02608267036875,14.826983,2.52387889526876,19,"F",0.00636907436721358,0.216403103962961,"0","Grupo B",NA,"test"
88,2,2.5300000000002,"ganando","England",2,86.7,41.5,34.6,2,1,0,0,0,33.3,0,2,0,0,0,0,0,1,23,2,11.52,0,24,-6.89999999999999,36.008053,0,36.008053,0,2,"F",0.000952180945993728,0.0323524110988798,"0","Grupo B",NA,"test"
106,2,1.77199999999993,"perdiendo","China PR",7,110.2,0,2.2,5,2,2,1,0,2.4,-2.7,3,0,0,0,0,0,1,26,1,6.17,0,2.09999999999999,2.2,9.16225,3.88973006775534,9.16225,3.88973006775534,6,"F",0.00219842661138335,0.00687385804985062,"0","Grupo B",NA,"test"
110,2,0.71900000000005,"perdiendo","China PR",4,28.3,31.7999999999999,31.7999999999999,4,0,0,1,0,0,0.2,2,0,0,0,0,0,0,8,1,0,0.24,0.199999999999999,0,0,0.199999999999999,0,0.199999999999999,3,"F",0.000892025244686681,0.00278911057440357,"1","Grupo A",NA,"test"
141,2,28.1099999999996,"ganando","England",35,63.4,59.8999999999999,66.5,4,11,10,10,0,0.87,-0.14,10,0,0,0,0,0,0,19,8,4.16636363636363,3.856,14.3999999999999,6.6,15.1658062727272,3.48061447478502,13.944533,3.82484767784547,32,"F",0.0105793701153681,0.359457026082779,"0","Grupo B",NA,"test"
158,2,3.16699999999946,"perdiendo","China PR",3,7,35.8999999999999,21,3,1,0,0,0,50,0,2,0,0,0,0,1,1,3,2,13.81,0,50,-14.8999999999999,52.172886,0,52.172886,0,3,"F",0.00392912927666487,0.0122852756455271,"0","Grupo A",NA,"test"
5,1,6.07699999999999,"perdiendo","France",8,61,39.8999999999999,1.29999999999999,4,3,2,1,0,-2.6,31.5,4,0,0,0,0,0,1,18,4,7.72666666666666,27.08,25.7,-38.6,18.084833,48.2130687677106,16.323296,48.2130687677106,7,"F",0.00281967359157837,0.0762550532721952,"0","Grupo B",NA,"test"
15,1,43.2249999999999,"perdiendo","France",43,67.4,79.9,61.2,6,13,13,12,0,0.54,1.42,11,0,0,0,0,0,1,20,10,4.1276923076923,0.958333333333333,25,-18.7,24.6349228461538,3.44158892979545,21.08886,2.61646569452763,39,"F",0.0200560129991731,0.542393397678236,"1","Grupo B",NA,"test"
38,1,0.471000000000003,"empate","Panama",2,2.7,41.7,39.8999999999999,2,0,0,0,0,0,0,2,0,0,0,0,0,0,3,1,0,0,-1.1,-1.8,0,0,0,0,2,"F",0.000665837315163001,0.00193982555682015,"0","Grupo A",NA,"test"
44,1,3.89100000000007,"empate","Panama",4,57.8,36,25.5,2,2,1,0,0,15.3,0,3,0,0,0,0,0,1,13,2,8.46,0,31.9,-10.5,26.0278715,0,26.0278715,0,4,"F",0.00550057960360779,0.0160251831031577,"0","Grupo B",NA,"test"
60,1,1.221,"ganando","France",2,96.3,48.2999999999999,40.5,2,0,0,0,0,0,0,2,0,0,0,0,0,1,23,1,0,0,-95.8999999999999,-7.79999999999999,0,0,0,0,1,"F",0.000566533068177918,0.0153212802444217,"1","Grupo B",NA,"test"
66,1,37.759,"ganando","France",37,50.9,16.5,47.2999999999999,5,10,10,10,0,-0.12,3.29,12,0,0,0,0,0,0,11,9,3.005,0.957,30.1999999999999,30.7999999999999,19.124681,7.23215711359582,17.833764,3.34558333304141,32,"F",0.0175198379372072,0.473805258598786,"0","Grupo B",NA,"test"
103,2,0.458999999999832,"ganando","France",2,108,40,40,2,0,0,0,0,0,0,2,0,0,0,0,0,0,28,1,0,0,-107,0,0,0,0,0,1,"F",0.000212971890494323,0.00575959675035788,"1","Grupo B",NA,"test"
111,2,17.8919999999998,"perdiendo","Panama",17,7,35.8999999999999,4.09999999999999,4,5,4,4,0,8.96,5.45,8,0,0,0,0,0,1,3,6,6.992,26.4925,66.2,-31.8,18.6396096,6.86416358952561,18.401087,3.61049731745427,14,"F",0.0252933359721788,0.0736886600055745,"1","Grupo A",NA,"test"
124,2,0.733999999999923,"perdiendo","Panama",2,108.1,39.8999999999999,40,2,0,0,0,0,0,0,2,0,0,0,0,0,0,28,1,0,0,-107.099999999999,0.100000000000001,0,0,0,0,1,"F",0.00103763182447896,0.00302299778918436,"1","Grupo B",NA,"test"
130,2,1.63299999999981,"perdiendo","Panama",4,38.3,79.9,72.5999999999999,4,1,1,1,0,14.1,0.3,2,0,0,0,0,0,1,10,2,9.19,0.9,14.4,-7.30000000000001,14.96028,2.31948270094865,14.96028,2.31948270094865,4,"F",0.00230851875936528,0.00672555230209538,"0","Grupo A",NA,"test"
136,2,10.5160000000005,"ganando","France",12,103.4,9.9,39.2999999999999,7,2,2,3,0,-12.6,6.33,6,1,0,1,1,0,0,26,4,0,3.35,-101.7,29.3999999999999,18.0839375,8.2629431086678,18.0839375,3.80788655293195,9,"F",0.00487932984845149,0.131956251474485,"1","Grupo B",NA,"test"
